GLN Proveedor CPP                  Descripción                                                            Marca                          División                              GTIN13 Unid/c Promo F alta         Estado 
7737001260012 441040               BANDITAS BAND-AID TOY STORY BIL 25 UN                                  BAND-AID                       BAND AID BRAND ADHESIVE BANDAG 7891010938840     24 N     20180402T1445  A      
7737001260012 93489                NTG U-LIGHT HID FACIAL MIS/OLEOSA 6X55G                                NEUTROGENA                     BEAUTY                         7891010934897      6 N     20110916T1124  A      
7737001260012 93490                NTG U-LIGHT HID FACIAL NORMAL/SECA 6X55G                               NEUTROGENA                     BEAUTY                         7891010934903      6 N     20110916T1124  A      
7737001260012 93564                JS SOFTLOTION 24HORAS NEWEMPAQ 12X400                                  SOFTLOTION                     BABY                           7891010010621     12 N     20121012T1232  A      
7737001260012 93571                NEUT D CLEAN ESFOL ENERGIZ 6X100G BIL                                  NEUTROGENA                     BEAUTY                         7891010704490      6 N     20121012T1232  A      
7737001260012 93596                LOCION ANTI-MOSQUITOS  12X100                                          JOHNSON'S BABY                 BABY TOILETRIES                7891010007263     12 N     20110310T1026  A      
7737001260012 93599                3'S B JABON LIQ HORA DE JUGAR 12X200 ML                                J´S BABY                       BABY                           7891010935979     12 N     20120124T1621  A      
7737001260012 93600                J'S BABY JABON HORA DE JUGAR 72X80                                     J´S BABY                       CHC                            7891010936006     72 N     20110901T0858  A      
7737001260012 93603                JS B BLOQ FPS40 HORA JUGAR 12X120G                                     JOHNSON´S BABY                 BABY                           7891010919733     12 N     20110901T0858  A      
7737001260012 93700                NEUT ULTRA LIGHT CONT DOS OLHOS 6X15G                                  NEUTROGENA                     BEAUTY                         7891010799847     12 N     20101126T1836  A      
7737001260012 93713                SHAMPOO MOISTURIZING+JABÓN DE GLICERINA                                JOHNSON'S BABY                 BABY TOILETRIES                7730198004551     12 N     20100604T1022  A      
7737001260012 93714                TOALLITAS HUMEDAS DS LLEVE 3 PAGUE 2                                   JOHNSON'S BABY                 BABY TOILETRIES                7730198004568      4 N     20100330T1713  A      
7737001260012 93715                SIEMPRE LIBRE SLINEA C/ALAS 20% DTO                                    SIEMPRE LIBRE                  SANPRO EXTERNAL                7730198004575     24 N     20100709T1032  A      
7737001260012 93716                SIEMPRE LIBRE ESPECIAL ULTRAFINA 20% DTO                               SIEMPRE LIBRE                  SANPRO EXTERNAL                7730198004582     48 N     20100709T1032  A      
7737001260012 93755                SUND SPORT SPRAY FPS30 12X127GR                                        SUNDOWN                        BEAUTY                         7891010937553     12 N     20111122T0905  A      
7737001260012 93856                SL ESPECIAL C/ALAS X8 LLEVE 4 PAGUE 3                                  SIEMPRE LIBRE                  SANPRO EXTERNAL                7730198004605     15 N     20100319T0912  A      
7737001260012 93858                CF BRISAX100+CF BRISA S/P X20 DE REGALO                                CAREFREE                       SANPRO INTERMENSTRUAL          7730198004629     12 N     20101013T1637  A      
7737001260012 93868                SIEMPRE LIBRE U-FINA MAX SV ALA 48X8UN                                 SIEMPRE LIBRE                  SANPRO EXTERNAL                7891010938680     48 N     20110722T1630  A      
7737001260012 93955                NEUT HYDROBOOST OJOS                                                   NEUTROGENA                     BEAUTY                         7891010882990      6 N     20170504T1254  A      
7737001260012 93963                TOA FEM SL ADPLUS UF SS ALA 48X8                                       SIEMPRE LIBRE                  ULTRA THIN PADS                7891010695071     48 N     20180903T1013  A      
7737001260012 94113                ACEITE X 200 ML ( 79752 )                                              JOHNSON'S BABY                 BABY TOILETRIES                7790010007054     12 N     20100902T1147  A      
7737001260012 94114                ACEITE 12X100                                                          JOHNSON'S BABY                 BABY TOILETRIES                7790010007047     12 N     20100902T1147  A      
7737001260012 94181                OB MEDIANO L10P8 40X10UN                                               OB                             SANPRO INTERNAL                7891010886547     40 N     20130118T1125  A      
7737001260012 94208                S.LIBRE ALAS EA EC. PACK 18X16                                         SIEMPRE LIBRE                  SANPRO EXTERNAL                7790010890601     24 N     20110916T1124  A      
7737001260012 94664                ROC HYDRA + HIDRAT.LIGHT PIEL NM/MX 40                                 ROC                            BEAUTY                         3574660540550     98 N     20100820T1114  A      
7737001260012 94665                ROC HYDRA+HIDRAT.LIGHT SPF15 40ML                                      ROC                            BEAUTY                         3574660540598     98 N     20100812T1616  A      
7737001260012 94672                ROC HYDRA+CUIDADO HIDRAT.PIEL SECA 50ML                                ROC                            BEAUTY                         3574660540710     10 N     20100812T1616  A      
7737001260012 94673                HYDRA+ ANTIFATIGUE EYE                                                 ROC                            BEAUTY                         3574660529036     96 N     20100812T1616  A      
7737001260012 94674                RETIN-OX WRINK.FILL.CONT.OJOS+LABIO 15ML                               ROC                            BEAUTY                         3574660524734     96 N     20100812T1616  A      
7737001260012 94698                SUNDOWN GOLD LOCAO FPS 15 - 12X120                                     SUNDOWN                        BEAUTY                         7891010946982     12 N     20111122T0905  A      
7737001260012 94723                NEUT HYDROBOOST WATER GEL                                              NEUTROGENA                     BEAUTY                         7891010882983      6 N     20170504T1254  A      
7737001260012 94747                NEUT ULTRA LIGHT NOCHE 6X50G                                           NEUTROGENA                     BEAUTY                         7891010947477      6 N     20120124T1621  A      
7737001260012 95223                LIST ANTIMANCHAS  12X250 ML VTA                                        LISTERINE                      ORAL CARE                      7702031547532     12 N     20161021T1608  A      
7737001260012 95233                ROC® DEMAQUILLANTE DE OJOS                                             ROC                            BEAUTY                         3574660562552     24 N     20121012T1232  A      
7737001260012 95243                CAREFREE LONGS 30X60                                                   CAREFREE                       SANPRO INTERMENSTRUAL          7790010952439     30 N     20120124T1621  A      
7737001260012 95272                SUND KIDS BLOQ SOL FPS60 12X120 ML - EX                                SUNDOWN                        BEAUTY                         7891010026264     12 N     20121012T1232  A      
7737001260012 95343                SUND KIDS SPRAY CONT FPS30 12X150ML                                    SUNDOWN                        BEAUTY                         7891010953430     12 N     20111122T0905  A      
7737001260012 95346                J'S BABY SABONETE REGULAR 72X80G BIL                                   JOHNSON´S                      BABY TOILETRIES                7891010032906     72 N     20121012T1232  A      
7737001260012 95347                JB JABON DE GLICERINA 24 X 80G                                         JOHNSON´S                      BABY TOILETRIES                7891010035976     72 N     20121012T1232  A      
7737001260012 95349                J'S BABY SABONETE H DO SONO 72X80G BIL                                 JOHNSON´S                      BABY TOILETRIES                7891010781668     72 N     20121012T1232  A      
7737001260012 95351                JB TALCO ORIG 24X200G                                                  JOHNSON´S BABY                 BABY                           7891010032241     12 N     20130911T1522  A      
7737001260012 95352                JB TALCO MANZAN 24X200G                                                JOHNSON´S BABY                 BABY                           7891010036478     24 N     20130911T1522  A      
7737001260012 95395                PROTECT.P/LACT.CON F/GEL 12X24                                         JOHNSON'S BABY                 BABY TOILETRIES                7891010046927     12 N     20110427T1555  A      
7737001260012 95396                J'S PROTECTOR DE SENOS 12X12'S                                         JOHNSON'S BABY                 BABY TOILETRIES                7891010101688     12 N     20110427T1555  A      
7737001260012 95454                ROC MAKE UP REMOVER MILK 3 EN 1-200ML                                  ROC                            BEAUTY                         3574660562439     24 N     20101013T1637  A      
7737001260012 95455                ROC PERFECTING TONER 200 ML                                            ROC                            BEAUTY                         3574660562309     24 N     20121012T1232  A      
7737001260012 95573                SUND FPS20 X120ML + SUND GOLD OLEO FPS4                                SUNDOWN                        SUNCARE                        7730198004681      6 N     20121012T1232  A      
7737001260012 95574                SUND FPS15 120ML + SUND GEL POST SOLAR                                 SUNDOWN                        SUNCARE                        7730198004674      6 N     20100812T1616  A      
7737001260012 95828                CURATIVO B-AID TRANSP 126X10UN BILING                                  BAND AID                       FIRST AID                      7891010504779    144 N     20121012T1232  A      
7737001260012 95930                LIST WHITENING ANTIMANCHAS 12X250ML EXP                                LISTERINE                      JOHNSON'S                      7891010959302     12 N     20120620T1641  A      
7737001260012 95933                LIST WHITENING ANTIMANCHAS 12X500ML EXP                                LISTERINE                      JOHNSON'S                      7891010959333     12 N     20120620T1641  A      
7737001260012 95945                SUND PROT SOLAR EMB ECON FPS15 12X200EXP                               SUNDOWN                        SUNCARE                        7891010096472     12 N     20121012T1232  A      
7737001260012 95946                SUND  U-RESIST FPS30 EMB ECON 12X200ML                                 SUNDOWN                        SUNCARE                        7891010096496     12 N     20121012T1232  A      
7737001260012 95951                LISTERINE CUID TOTAL A-SEP BUCAL 250ML                                 JOHNSON'S                      ORAL MOUTHWASH                 7891010959517     12 N     20110310T1026  A      
7737001260012 95952                LISTERINE CUID TOTAL A-SEP BUCAL 500ML                                 JOHNSON'S                      ORAL MOUTHWASH                 7891010959524     12 N     20110310T1026  A      
7737001260012 95964                ABS HIG SL NOT MAX SV ABA TERM 24X8UN AR                               SIEMPRE LIBRE                  SANPRO EXTERNAL                7891010959647     24 N     20110601T1655  A      
7737001260012 95965                CEPILLO J&J REACH CUIDADO PROF 12X1UN                                  REACH                          CHC                            7891010959654     12 N     20120124T1621  A      
7737001260012 95967                ESC JNJ REACH WHITENING GD MC 12UN                                     REACH                          CHC                            7891010959678     12 N     20120124T1621  A      
7737001260012 95979                JB  ACEITE PURO 12 X 200                                               JOHNSON´S                      BABY TOILETRIES                7790010959797     12 N     20121012T1232  A      
7737001260012 96003                BAÑO LIQUIDO GLICERINA 6X200                                           JOHNSON´S                      JOHNSON'S BABY                 7891010005757      6 N     20121012T1232  A      
7737001260012 96010                JB FECULA MAX. SUAVIDAD 24X200                                         JOHNSON'S BABY                 BABY TOILETRIES                7790010960106     24 N     20140123T1601  A      
7737001260012 96031                LISTERINE WHIT BRANQ Y FORT 12X236ML                                   LISTERINE                      CHC                            7891010960315     12 N     20120424T1129  A      
7737001260012 96034                LIST WHIT BRANQ Y FORT 12X473ML                                        LISTERINE                      CHC                            7891010960346     12 N     20120424T1129  A      
7737001260012 96049                J'S BABY COLONIA BESITOS X 100 ML                                      JOHNSON´S BABY                 BABY TOILETRIES                7790010960496     12 N     20130919T1057  A      
7737001260012 96053                COLONIA DULCE SUEÑOS 100 ML                                            JOHNSON'S BABY                 BABY TOILETRIES                7790010960533     12 N     20140123T1601  A      
7737001260012 96188                HASTES FLEXIVEIS COTONETES 15X300UN                                    JOHNSON´S BABY                 COTONETES                      7891010047764     15 N     20121012T1232  A      
7737001260012 96189                HASTES FLEXIVEIS COTONETES* TRIL 30X150H                               JOHNSON'S BABY                 COTTON SWABS                   7891010560812     30 N     20110601T1655  A      
7737001260012 96251                OB MD LLEVE 2 PAGUE 1 (PACK 2 X 20UNI)                                 OFERTAS                        SANPRO EXTERNAL                7730198004698     10 N     20101013T1637  A      
7737001260012 96252                OB SP LLEVE 2 PAGUE 1 (PACK 2 X 20UNI)                                 OFERTAS                        SANPRO EXTERNAL                7730198004704     10 N     20101013T1637  A      
7737001260012 96349                COLONIA FRESCA CARICIA 100 ML                                          JOHNSON´S BABY                 BABY                           7790010963497     12 N     20130911T1522  A      
7737001260012 96371                MYANTA DOS MENTA LIQ 240 ML EXPORTAÇAO                                 MYLANTA                        OTC OTHER CATEGORIES           7891010963712     24 N     20110613T1033  A      
7737001260012 96372                MYLANTA DOS FRESA LIQ 240 ML EXPORTAÇAO                                MYLANTA                        OTC OTHER CATEGORIES           7891010963729     24 N     20110613T1033  A      
7737001260012 96611                LISTERINE CUIDADO TOTAL LITRO 6X1000ML                                 LISTERINE                      CHC                            7702035833846      6 N     20120419T1218  A      
7737001260012 96621                JB TOALLITAS HÚMEDAS REFILL REGULAR 12X7                               JOHNSON'S BABY                 BABY TOILETRIES                7790010989077     12 N     20140123T1601  A      
7737001260012 96810                LUBRIDERM AVENA 36 X 200 ML                                            LUBRIDERM                      BEAUTY                         7702035475299     36 N     20120620T1641  A      
7737001260012 96811                LUBRIDERM AVENA 24 X 400 ML                                            LUBRIDERM                      BEAUTY                         7702035475275     24 N     20120924T1516  A      
7737001260012 96813                LUBRIDERM C/P 36 X 200 ML                                              LUBRIDERM                      BEAUTY                         7702035435989     36 N     20121012T1232  A      
7737001260012 96814                LUBRIDERM C/P 24 X 400 ML                                              LUBRIDERM                      BEAUTY                         7702035456663     24 N     20121012T1232  A      
7737001260012 96846                LISTERINE CUIDADO TOTAL LITRO 6X1000ML                                 LISTERINE                      ORAL MOUTHWASH                 7702035833846      6 N     20121012T1232  A      
7737001260012 96850                LISTERINE COOL 6 X 1LT                                                 LISTERINE                      ORAL MOUTHWASH                 7702035432506      6 N     20121012T1232  A      
7737001260012 96877                LUBRIDERM UV15 36 X 200 ML                                             LUBRIDERM                      BEAUTY                         7702035416155     36 N     20121012T1232  A      
7737001260012 96878                LUBRIDERM UV15 24 X 400 ML                                             LUBRIDERM                      BEAUTY                         7702035456632     24 N     20121012T1232  A      
7737001260012 96898                CF BRISA SIN PERFUME OFERT 12X150                                      CAREFREE                       SANPRO INTERMENSTRUAL          7702031503361     12 N     20121012T1232  A      
7737001260012 96900                CF TANGA BRISA S/P 30X20                                               CAREFREE                       SANPRO INTERMENSTRUAL          7702031970767     30 N     20121012T1232  A      
7737001260012 96906                LUBRIDERM RENOV. CELULAR 36X200 ML                                     LUBRIDERM                      BEAUTY                         7702035892706     36 N     20120924T1516  A      
7737001260012 96931                CF TANGA BRISA S/P 30X60                                               CAREFREE                       SANPRO INTERMENSTRUAL          7790010994088     30 N     20131121T1634  A      
7737001260012 96944                SPLENDA GRANULAR 275G CAMCOR                                           SPLENDA                        NUTRITIONALS                    722776210529      8 N     20131121T1634  A      
7737001260012 96967                LUBRIDERM CORP.REAF. 36 X200 ML                                        LUBRIDERM                      BEAUTY                         7702035436108     36 N     20120620T1641  A      
7737001260012 97042                J'S BABY COND MOISTURIZER 12X200ML EXP                                 JOHNSON'S BABY                 BABY TOILETRIES                7891010804589     12 N     20160223T1907  A      
7737001260012 97048                SUNDOWN FACIAL FPS50 MAIS 12X50G                                       SUNDOWN                        BEAUTY                         7891010875725     12 N     20121012T1232  A      
7737001260012 97074                ABS HIG SL MAX SV TRI PROT ABA 24X16 UN                                SIEMPRE LIBRE                  SANPRO EXTERNAL                7891010970741     24 N     20110722T1630  A      
7737001260012 97079                ABS HIG SL MAX S TRI PROT ALA 48X8UN ARG                               SIEMPRE LIBRE                  SANPRO EXTERNAL                7891010970796     48 N     20110722T1630  A      
7737001260012 97083                NEUTROGENA DEEP CLEAN TOALLITAS DEMAQUIL                               NEUTROGENA                     BEAUTY                           70501151259      6 N     20110916T1124  A      
7737001260012 97181                REACH* HILO ESSENTIAL 24X100                                           JOHNSON'S                      ORAL FLOSS                     7891010501105     24 N     20121012T1232  A      
7737001260012 97184                REACH* HILO REG C/CERA 24X50M                                          REACH                          ORAL CARE                      7891010038892     24 N     20121012T1232  A      
7737001260012 97185                ROC SUBLIME ENERGY NIGHT 30ML                                          ROC                            BEAUTY                         3574660548075     12 N     20110804T1236  A      
7737001260012 97186                ROC SUBLIME ENERGY EYE 10ML                                            ROC                            BEAUTY                         3574660548150     12 N     20110804T1236  A      
7737001260012 97189                ROC ANTI-CELLULITE BODY CREAM 150ML                                    ROC                            BEAUTY                         3574660628104     24 N     20121012T1232  A      
7737001260012 97205                OB MEDIO 20X20 NP                                                      OB                             SANPRO INTERNAL                7891010010560     20 N     20121012T1232  A      
7737001260012 97206                OB SUPER 20X20 NP                                                      OB                             SANPRO INTERNAL                7891010010591     20 N     20121012T1232  A      
7737001260012 97211                NEUTROGENA AGELESS INTENSIVE OJOS 0.5 OZ                               NEUTROGENA                     BEAUTY                           70501023761     12 N     20120620T1641  A      
7737001260012 97212                NEUT AGELESS INT DIA MOIST SPF20 1.4 OZ                                NEUTROGENA                     BEAUTY                           70501024669     12 N     20120620T1641  A      
7737001260012 97213                NEUT AGELESS INT NIGHT MOIST 1.4 OZ                                    NEUTROGENA                     BEAUTY                           70501023662     12 N     20120620T1641  A      
7737001260012 97216                ROC MULTICORREXION A AGE RESTORE CR 50                                 ROC                            BEAUTY                         3574660554403      1 N     20110613T1033  A      
7737001260012 97229                BAÑO LIQ DULCES SUEÑOS 200ML 25% D                                     OFERTAS                        BABY TOILETRIES                7730198004728     12 N     20110601T1655  A      
7737001260012 97256                SL ADAPT PLUS UF C/A X8                                                SIEMPRE LIBRE                  ULTRA THIN PADS                7790010599276     48 N     20180713T1029  A      
7737001260012 97257                SL ADAPT PLUS UF C/A X16                                               SIEMPRE LIBRE                  ULTRA THIN PADS                7790010599283     24 N     20180713T1029  A      
7737001260012 97261                SL ADAPT PLUS UF C/A X32                                               SIEMPRE LIBRE                  ULTRA THIN PADS                7790010606066     12 N     20180704T1408  A      
7737001260012 97264                ESC J&J REACH ACCESS GR DR 12 UN EXP                                   REACH                          ORAL CARE                      7891010038670     12 N     20121012T1232  A      
7737001260012 97266                REACH* CEP ACCESS MEDIO X12                                            REACH                          ORAL CARE                      7891010044992     12 N     20121012T1232  A      
7737001260012 97269                CEPILLO REACH ACCESS 12X2                                              REACH                          ORAL CARE                      7891010500115     12 N     20121012T1232  A      
7737001260012 97272                CEPILLO REACH ESSENCIAL PQ DU 12UN                                     REACH                          ORAL CARE                      7891010696610     12 N     20121012T1232  A      
7737001260012 97286                PR ESC R COMFORT CLEAN GR MD L2P1 12UN                                 REACH                          ORAL CARE                      7891010697266     12 N     20121012T1232  A      
7737001260012 97293                SL FIT / ADAPT PLUS C/A X8                                             SIEMPRE LIBRE                  THICK PADS                     7790010595698     48 N     20180704T1408  A      
7737001260012 97295                SL FIT / ADAPT PLUS C/A X16                                            SIEMPRE LIBRE                  THICK PADS                     7790010596602     24 N     20180223T1509  A      
7737001260012 97316                PACK X 3 JABONES  JBABY  ORIGI X16 VTA                                 JOHNSON'S BABY                 BABY CARE                      7702031900542     16 N     20161021T1608  A      
7737001260012 97317                PACK X 3 JABONES  JBABY  HUMEC X16 VTA                                 JOHNSON'S BABY                 BABY CARE                      7702031900597     16 N     20161021T1608  A      
7737001260012 97333                OB TAMPONES PQ PROCOMFORT 40X10UN                                      OB                             CHC                            7891010952969     40 N     20120124T1621  A      
7737001260012 97334                OB TAMPONES MED PROCOMFORT 40X10UN                                     OB                             CHC                            7891010952952     40 N     20120124T1621  A      
7737001260012 97335                OB TAMPONES SUP PROCOMFORT 40X10UN                                     OB                             CHC                            7891010952976     40 N     20120124T1621  A      
7737001260012 97361                LISTERINE FRESHBURST A-SEPTICO B 250ML                                 LISTERINE                      ORAL CARE                      7891268400052     12 N     20121012T1232  A      
7737001260012 97362                LISTERINE FRESHBURST A-SEPTICO B 500ML                                 LISTERINE                      ORAL CARE                      7891010913052     12 N     20121012T1232  A      
7737001260012 97366                LISTERINE PROTEC DIENTES 12XX250ML                                     LISTERINE                      ORAL CARE                      7891010927400     12 N     20121012T1232  A      
7737001260012 97367                LISTERINE PROT DIENTES & ENCIAS 12X500ML                               LISTERINE                      ORAL CARE                      7891010927417     12 N     20121012T1232  A      
7737001260012 97370                LISTERINE COOL MINT A-SEPTICO B 250ML                                  LISTERINE                      ORAL CARE                      7891268400014     12 N     20121012T1232  A      
7737001260012 97371                LISTERINE COOL MINT A-SEPTICO B 500ML                                  JOHNSON'S                      ORAL MOUTHWASH                 7891268400113     12 N     20140123T1601  A      
7737001260012 97375                LISTERINE ANTI SARRO 250ML                                             LISTERINE                      ORAL CARE                      7702035853158     12 N     20121012T1232  A      
7737001260012 97376                LISTERINE ANTI SARRO 500ML                                             LISTERINE                      ORAL CARE                      7702035853165     12 N     20121012T1232  A      
7737001260012 97391                SL ESPECIAL ULTRAFINA X 8 LL 4X3                                       SIEMPRE LIBRE                  SANPRO EXTERNAL                7730198004735      6 N     20110310T1026  A      
7737001260012 97392                SL NOCTURNA X 8 LL 4X3                                                 SIEMPRE LIBRE                  SANPRO EXTERNAL                7730198004742     12 N     20110310T1026  A      
7737001260012 97424                J'S BABY TOALLITAS HÚMED TOQ FRESCO BIL                                SKIN LOTION BABY WIPES         JOHNSON'S BABY                 7891010657536     96 N     20171115T1733  A      
7737001260012 97433                LISTERINE ZERO 12X500ML                                                LISTERINE                      ORAL MOUTHWASH                 7891010974336     12 N     20120924T1516  A      
7737001260012 97467                SUND GOLD OLEO BRONZ FPS4 12X125ML                                     SUNDOWN                        SUNCARE                        7891010505141     12 N     20121012T1232  A      
7737001260012 97469                SUND GOLD LOC MOD SOLAR FPS8 12X120ML                                  SUNDOWN                        SUNCARE                        7891010505134     12 N     20121012T1232  A      
7737001260012 97470                SUNDOWN GOLD LOCAO FPS 15 - 12X120                                     SUNDOWN                        SUNCARE                        7891010946982     12 N     20121012T1232  A      
7737001260012 97476                J'S B CR PENTEAR MOISTURIZ 12X150ML EXP                                JOHNSON'S BABY                 BABY TOILETRIES                7891010804626     12 N     20160223T1907  A      
7737001260012 97481                SUND GOLD SPRAY CONTINUO FPS6 12X150ML                                 SUNDOWN                        SUNCARE                        7891010974817     12 N     20121012T1232  A      
7737001260012 97488                NTG ACNE PROOF GEL CLEANSER 6X 200ML BIL                               NEUTROGENA                     NEUTROGENA ACNE                7891010974886      6 N     20180611T1510  A      
7737001260012 97489                NTG ACNE PROOFING TÓNICO 6X 200 ML BIL                                 NEUTROGENA                     NEUTROGENA ACNE                7891010974893      6 N     20180713T1029  A      
7737001260012 97626                NTG ACNE PROOFING SCRUB 6X 100G BIL                                    NEUTROGENA                     NEUTROGENA ACNE                7891010976262      6 N     20180424T1242  A      
7737001260012 97627                O.B MEDIO X 10 LLEVE 2 PAGUE 1                                         OFERTAS                        SANPRO EXTERNAL                7730198004766     20 N     20110310T1026  A      
7737001260012 97628                O.B SUPER X 10 LLEVE 2 PAGUE 1                                         OFERTAS                        SANPRO EXTERNAL                7730198004780     20 N     20110310T1026  A      
7737001260012 97639                LISTER ANTICARIES ZERO ALCOHOL 12X250ML                                LISTERINE                      ORAL CARE                      7702031976394     12 N     20170803T1104  A      
7737001260012 97649                LISTER ANTICARIES ZERO ALCOHOL 12X500ML                                LISTERINE                      ORAL CARE                      7702031976493     12 N     20170803T1104  A      
7737001260012 97660                LIST COOL MINT 12X250ML L250P200ML                                     LISTERINE                      CHC                            7891010976606     12 N     20110901T0858  A      
7737001260012 97694                TOALLITAS HUMEDAS LL3P2                                                OFERTAS                        BABY TOILETRIES                7730198004797      4 N     20110722T1630  A      
7737001260012 97907                PACK FAMILIAR JABON REGULAR 4X3                                        OFERTAS                        BABY TOILETRIES                7730198004803     15 N     20110627T1013  A      
7737001260012 98007                J'S BABY SHAMPOO FRAG PROL 12X200 ML                                   J´S BABY                       BABY HAIR CARE                 7891010980078     12 N     20130201T0908  A      
7737001260012 98009                J'S BABY ACONDIC FRAGANCIA 12X200ML                                    J´S BABY                       BABY HAIR CARE                 7891010980092     12 N     20130201T0908  A      
7737001260012 98236                SHAMPOO CLAS 750CC+ACONDIC CLAS 200CC                                  OFERTAS                        BABY TOILETRIES                7730198004827      8 N     20110601T1655  A      
7737001260012 98237                SHAMPOO MANZAN 750CC+ACONDIC MANZAN 200C                               OFERTAS                        BABY TOILETRIES                7730198004834      8 N     20110602T1233  A      
7737001260012 98493                BENADRYL JARABE X 120 ML                                               BENADRYL                       OTC                            7702134108104     48 N     20120301T0915  A      
7737001260012 98674                COTONETES POTE LLEVE 150 PAGUE 100                                     J´S BABY                       BABY                           7730198004841     30 N     20110916T1124  A      
7737001260012 98680                COTONETES LLEVE 300 PAGUE 200                                          J´S BABY                       BABY                           7730198004858     30 N     20110601T1655  A      
7737001260012 98687                BENADRYL 25 MG 48 X 24 TAB                                             BENADRYL                       OTC                            7702035986870     48 N     20120301T0915  A      
7737001260012 98720                SIEMPRE LIBRE TRIPROTECT X 16 LL 32P24                                 SIEMPRE LIBRE                  SANPRO EXTERNAL                7730198004810     10 N     20110901T0858  A      
7737001260012 98722                SHAMPOO J'S BABY PROTECCIÓN UV X 200 ML                                J´S BABY                       HAIR CARE                      7790010987226     12 N     20130201T0908  A      
7737001260012 98725                SHAMPOO J'S BABY PROTECCIÓN UV X 400 ML                                J´S BABY                       HAIR CARE                      7790010987257     12 N     20130201T0908  A      
7737001260012 98907                JB TOALLITAS HÚMEDAS REFILL REGULAR 12X7                               JOHNSON´S BABY                 JOHNSON'S                      7790010989077     12 N     20160223T1907  A      
7737001260012 98907                JB WIPES FINAS OLORCITO A BEBÉ X 70                                    JOHNSON´S BABY                 JOHNSON'S                      7790010989077     12 N     20120726T0953  A      
7737001260012 98908                JB TOALLITAS HÚMEDAS REFILL C/CREMA 12X7                               JOHNSON'S BABY                 BABY TOILETRIES                7790010989084     12 N     20140123T1601  A      
7737001260012 98908                JB WIPES FINAS CON CREMA X 70                                          JOHNSON´S BABY                 BABY TOILETRIES                7790010989084     12 N     20120726T0951  A      
7737001260012 98951                LISTERINE CUID TOTAL A-SEP BUCAL 250ML                                 LISTERINE                      ORAL CARE                      7891010959517     12 N     20121012T1232  A      
7737001260012 98952                LISTERINE CUID TOTAL A-SEP BUCAL 500ML                                 LISTERINE                      ORAL MOUTHWASH                 7891010959524     12 N     20121012T1232  A      
7737001260012 98984                ABS HIG SL U-FINA MAX SV ABA 48X8UN EXP                                SIEMPRE LIBRE                  SANPRO EXTERNAL                7891010989842     48 N     20121012T1232  A      
7737001260012 99059                NTG HYDRO BOOST WATER GEL FPS25 6X55G                                  NEUTROGENA                     NEUTROGENA FACE MOISTURIZER    7891010887742      6 N     20180611T1510  A      
7737001260012 99117                ABS HIG SL NOT MAX SV ABA TERM 24X8UN AR                               SIEMPRE LIBRE                  SANPRO EXTERNAL                7891010991173     24 N     20121012T1232  A      
7737001260012 99167                SHAMP CLASICO X 400 + JABON                                            OFERTAS                        BABY TOILETRIES                7730198004872      6 N     20110916T1124  A      
7737001260012 99168                SHAMP MANZANILLA X 400 + JABON                                         OFERTAS                        BABY TOILETRIES                7730198004889      6 N     20110916T1124  A      
7737001260012 99326                SPLENDA SOBRES LLEVE 200 PAGUE 175                                     SPLENDA                        SPLENDA                        7730198005336     12 N     20110901T0858  A      
7737001260012 99368                SL ADAPT CON ALAS 48X8                                                 SIEMPRE LIBRE                  SANPRO EXTERNAL                7790010993685     24 N     20120726T0951  A      
7737001260012 99370                SL ESPECIAL 6H CON ALAS 60X8                                           SIEMPRE LIBRE                  SANPRO EXTERNAL                7790010993708     60 N     20120726T0951  A      
7737001260012 99371                SL ADAPT CON ALAS EC. PACK 24X16                                       SIEMPRE LIBRE                  SANPRO EXTERNAL                7790010993715     30 N     20120726T0951  A      
7737001260012 99374                SL TANGA CON ALAS 36X8                                                 SIEMPRE LIBRE                  SANPRO EXTERNAL                7790010993746     36 N     20120726T0951  A      
7737001260012 99375                SL ESPECIAL 6H CON ALAS 30X16                                          SIEMPRE LIBRE                  SANPRO EXTERNAL                7790010993753     30 N     20120726T0951  A      
7737001260012 99377                SL SLINEA ABA D SENS AGE NAT 24X16UN                                   SIEMPRE LIBRE                  SANPRO EXTERNAL                7790010993777     24 N     20120726T0951  A      
7737001260012 99378                SL ESPECIAL ULTRAFINA 48X8                                             SIEMPRE LIBRE                  SANPRO EXTERNAL                7790010993784     48 N     20120726T0951  A      
7737001260012 99379                ABS SL SLINEA ABA DRY MAX A NAT 48X8UN                                 SIEMPRE LIBRE                  SANPRO EXTERNAL                7790010993791     48 N     20120726T0951  A      
7737001260012 99400                CF ORIGINAL SIN PERFUME 60X20                                          CAREFREE                       SANPRO INTERMENSTRUAL          7790010994002     60 N     20120726T0951  A      
7737001260012 99401                CAREFREE ORIGINAL S/P CO MAXIPACK30X60                                 CAREFREE                       SANPRO INTERMENSTRUAL          7790010994019     30 N     20120726T0951  A      
7737001260012 99403                CF BRISA SIN PERFUME 30X60                                             CAREFREE                       SANPRO INTERMENSTRUAL          7790010994033     30 N     20120726T0951  A      
7737001260012 99406                CF BRISA SIN PERFUME 60X20                                             CAREFREE                       SANPRO INTERMENSTRUAL          7790010994064     60 N     20120726T0951  A      
7737001260012 99407                CF BRISA SIN PERFUME 20X100                                            CAREFREE                       SANPRO INTERMENSTRUAL          7790010994071     20 N     20120726T0951  A      
